,layer,cat,parent
606,7,桤叶树属,山柳科
607,6,尖苞树科,杜鹃花目
608,7,胶木属,山榄科
609,7,刺榄属,山榄科
610,7,陀螺果属,安息香科
611,7,安息香属,安息香科
612,7,山茉莉属,安息香科
613,7,茉莉果属,安息香科
614,7,赤杨叶属,安息香科
615,7,水角属,凤仙花科
616,7,凤仙花属,凤仙花科
617,9,蒿属,春黄菊族
618,7,秤锤树属,安息香科
619,7,白辛树属,安息香科
620,6,杜鹃花目小作品,杜鹃花目
621,7,木瓜红属,安息香科
622,7,五翅莓属,越桔科
623,7,藏榄属,山榄科
624,7,紫荆木属,山榄科
625,7,铁榄属,山榄科
626,7,黄锦带科,川续断目
627,7,忍冬科,川续断目
628,8,莕菜属,睡菜科
629,7,北极花科,川续断目
630,7,刺续断科,川续断目
631,7,五福花科,川续断目
632,7,梭子果属,山榄科
633,7,肉实树属,山榄科
634,7,花荵属,花荵科
635,7,金叶树亚科,山榄科
636,7,山矾属,山矾科
637,7,折柄茶属,山茶科
638,7,石笔木属,山茶科
639,8,异檐花属,桔梗科
640,7,猕猴桃属,猕猴桃科
641,7,厚皮香属,山茶科
642,7,柯树属,山茶科
643,7,鹿蹄草属,杜鹃花科
644,7,马醉木属,杜鹃花科
645,7,锦绦花属,杜鹃花科
646,7,越桔属,杜鹃花科
647,7,白珠树属,杜鹃花科
648,7,奴草属,帽蕊草科
649,7,浆果鹃属,杜鹃花科
650,7,水晶兰属,杜鹃花科
651,7,欧石楠属,杜鹃花科
652,7,树萝卜属,杜鹃花科
653,7,栂樱属,杜鹃花科
654,7,杜鹃花属,杜鹃花科
655,7,杉叶杜鹃属,杜鹃花科
656,7,木藜芦属,杜鹃花科
657,7,岩高兰属,杜鹃花科
658,7,天栌属,杜鹃花科
659,7,地桂属,杜鹃花科
660,7,喜冬草属,杜鹃花科
661,7,吊钟花属,杜鹃花科
662,7,单侧花属,杜鹃花科
663,7,珍珠花属,杜鹃花科
664,7,弯柱杜鹃属,杜鹃花科
665,7,沙晶兰属,杜鹃花科
666,7,杉叶杜属,杜鹃花科
667,7,金叶子属,杜鹃花科
668,7,伏地杜鹃属,杜鹃花科
669,7,杜香属,杜鹃花科
670,7,核果茶属,山茶科
671,7,人心果亚科,山榄科
672,8,鬼吹箫属,忍冬科
673,8,锦带花属,忍冬科
674,8,败酱属,忍冬科
675,8,蓝盆花属,忍冬科
676,8,荚蒾属,五福花科
677,8,接骨木属,五福花科
678,8,四福花属,五福花科
679,8,莛子藨属,忍冬科
680,8,桃榄属,金叶树亚科
681,8,山榄属,金叶树亚科
682,8,缬草属,忍冬科
683,8,甘松属,忍冬科
684,8,毛核木属,忍冬科
685,8,新缬草属,忍冬科
686,8,忍冬属,忍冬科
687,8,双盾木属,忍冬科
688,8,北极花属,忍冬科
689,8,六道木属,忍冬科
690,8,七子花属,忍冬科
691,8,翼首花属,忍冬科
692,7,越橘属,杜鹃花科
693,7,熊果属,杜鹃花科
694,8,双参属,忍冬科
695,7,澳石楠属,杜鹃花科
696,8,川续断属,忍冬科
697,8,刺续断属,忍冬科
698,7,多瓣核果茶属,山茶科
699,7,南美大头茶属,山茶科
700,7,大头茶属,山茶科
701,7,柃木属,山茶科
702,7,红淡比属,山茶科
703,7,圆籽荷属,山茶科
704,7,茶梨属,山茶科
705,7,帚石楠属,杜鹃花科
706,7,杨桐属,山茶科
707,7,岩扇属,岩梅科
708,7,岩匙属,岩梅科
709,7,喇叭茶亚属,杜鹃花科
710,7,管金牛属,报春花科
711,7,珍珠菜属,报春花科
712,7,独花报春属,报春花科
713,7,点地梅属,报春花科
714,7,水茴草属,报春花科
715,7,假报春属,报春花科
716,7,七瓣莲属,报春花科
717,7,铁仔属,报春花科
718,7,北极果属,杜鹃花科
719,8,人心果族,人心果亚科
720,7,施丁草属,报春花科
721,7,密花树属,报春花科
722,7,蜡烛果属,报春花科
723,7,琉璃繁缕属,报春花科
724,7,假婆婆纳属,报春花科
725,7,海乳草属,报春花科
726,7,长果报春属,报春花科
727,7,假水晶兰属,水晶兰科
728,8,异钟花属,桔梗科
729,8,五膜草属,桔梗科
730,8,铜锤玉带属,桔梗科
731,8,同瓣草属,桔梗科
732,8,山奶草属,桔梗科
733,8,密穗桔梗属,桔梗科
734,8,金钱豹属,桔梗科
735,8,蓝钟花属,桔梗科
736,8,党参属,桔梗科
737,8,风铃草属,桔梗科
738,8,牧根草属,桔梗科
739,8,半边莲科,桔梗科
740,6,南鼠刺科,桔梗类植物
741,6,冬青目,桔梗类植物
742,5,虎皮花属,鸢尾科
743,5,红葱属,鸢尾科
744,5,观音兰属,鸢尾科
745,5,地蜂草属,鸢尾科
746,5,肖槿属,锦葵科
747,5,旋葵属,锦葵科
748,5,椴树亚科,锦葵科
749,5,赛葵属,锦葵科
750,7,山茶属,山茶科
751,5,十裂葵属,锦葵科
752,5,泡果苘属,锦葵科
753,5,锦葵亚科,锦葵科
754,5,山芝麻亚科,锦葵科
755,5,扁担杆亚科,锦葵科
756,5,隔蒴苘属,锦葵科
757,5,大萼葵属,锦葵科
758,5,翅果麻属,锦葵科
759,5,木棉亚科,锦葵科
760,5,坡垒属,龙脑香科
761,5,龙脑香亚科,龙脑香科
762,7,报春花属,报春花科
763,5,伊犁花属,蓝雪科
764,7,仙客来属,报春花科
765,5,驼舌草属,蓝雪科
766,9,铁线子属,人心果族
767,5,蓝雪属,蓝雪科
768,5,鸡娃草属,蓝雪科
769,5,沙拐枣属,蓼科
770,5,拳参属,蓼科
771,5,竹节蓼属,蓼科
772,5,酸模属,蓼科
773,5,翼蓼属,蓼科
774,5,翅果蓼属,蓼科
775,5,山蓼属,蓼科
776,5,冰岛蓼属,蓼科
777,5,何首乌属,蓼科
778,5,木蓼属,蓼科
779,5,珊瑚藤属,蓼科
780,5,蕈树属,金缕梅科
781,5,水丝梨属,金缕梅科
782,5,山铜材属,金缕梅科
783,5,山白树属,金缕梅科
784,9,半边莲属,半边莲科
785,7,智利木属,南鼠刺科
786,7,青荚叶科,冬青目
